TABLE OF COMMUNICABLE DISEASES,,,,,
Disease,synns and symptoms,Incubation,Communicability,,Prevention
Chicken pox É?? varicella zoster virus; viral disease,"Esp seen winter and spring. Resp symptoms, malaise (not feeling well), low-grade fever followed by rash starting on face and trunk spreading to rest of body.  Fluid filled vesicles rupture and scab over within 1 week.",10-21 days,"Thru inhalation of airborne droplets
and direct contact of weeping lesions and contaminated linens.",,"Mask patient. Provider should avoid contact if theyÉ??ve never had chicken pox.
Vaccination now available (1995) and part of childhood immunizations. Pt isolated until all lesions crusted over and dry."
"Common cold
(viral rhinitis)",">200 strains of viruses cause the common cold. Course mild, often without fever and without muscle aching.","12 hours É?? 5
days (average 48 hours)","Direct contact, airborne droplet, contaminated hands and linens.",,Handwashing
"Conjunctivitis
(pink eye)","The clinical syndrome begins with tearing, irritation and redness of eye(s) followed by edema of lids, photophobia (light sensitivity) and pus drainage. Course lasts from 2 days up to 2-3 weeks.",24-72 hours,"Contact with discharge or upper respiratory tract of infected persons (fingers, clothing, eye make-up).
Communicable during course of active infection.",,Good personnel hygiene.  Daily laundering of bed linens including pillowcase and towels. Use wash cloth on unaffected eye first and then launder after use. No school during acute stage. Tx with antibiotic eye medications.
Hepatitis É?? inflammation of the liver due to multiple causes (virus most common),"synns and symptoms generally same for all forms:
Headache; fever; weakness; joint pain; anorexia; nausea; vomiting; RUQ pain; jaundice; dark urine; clay- colored stools",,,,Most important is avoidance of contact with blood and body fluids of all persons.
Hepatitis A É?? infectious or viral,"May have no symptoms.  Adults may have abdominal pain, loss of appetite, nausea, diarrhea, light colored stools, dark urine, fatigue, fever and jaundice.","15-50 days;
average 30 days. Disease follows mild course and",Fecal-oral route. Virus lasts on hands about 4 hours. More,,Vaccines in active areas (active immunity). Good handwashing.
Disease,synns and symptoms,Incubation,Communicability,,Prevention
Hepatitis A,,lasts 2-6 weeks,comm. latter half of incubation and most during 1st week of symptoms,,There is no long term chronic infection.
Hepatitis B É?? serum hepatitis,"It can take 1-9 months before symptoms develop. Some have mild flu-like symptoms. Dark urine, light colored stools, fatigue, fever and jaundice. Can develop acute hepatitis, cirrhosis, liver cancer.","4-25 weeks;
average 8-12 weeks","Direct contact (blood, semen, vaginal fluid, saliva).  Can become asymptomatic chronic carrier capable of transmitting disease to others.",,Vaccination 90% effective. Virus stable on surfaces with dried blood for 7 days.
Hepatitis C Leading cause of cirrhosis and liver cancer.,Chronic condition in 85% of infected people. Liver fibrosis into cirrhosis in 20% of infected people.,"2-25 weeks; avge
7-9 weeks. Disease may be dormant 10-20 years before symptoms.",Contact with infected blood primarily with IV drug use and sexual contact.,,Since 1989 screen blood for HCV. No vaccine due to high mutation rate.
"HIV É?? a virus that attacks the immune system and causes AIDS (a collection of synns
and symptoms)","Mono-like syndrome, fatigue, fever, sore throat, lymphadenopathy, splenomegaly, rash, diarrhea. Skin lesions (KaposiÉ??s sarcoma); opportunistic infections (Pneumocystic carinii pneumonia, Tb)",Variable. May develop detectable antibodies 1-3 months. Variable time from HIV infection to diagnosis of AIDS.,Bloodborne through blood and body fluids,,"Universal standard precautions
Death is usually from the opportunistic diseases that take advantage of the patientÉ??s weakened systems."
"Influenza (flu)
Viral disease","Epidemics usually in winter. Sudden onset fever for 3-5 days, chills, tiredness, malaise (not feeling well), musculoskeletal aches, nasal discharge, dry cough, mild sore throat. Children can also experience GI symptoms of nausea, vomiting and diarrhea although this is uncommon in","1-4 days
Peak flu season is late December through March.",Direct contact especially in crowded areas via airborne. The virus can persist on surfaces for hours but indirect contact is less,,"Vaccination available annually; most effective if received from September to mid- November.
Treatment is symptomatic (rest, fluids, OTC med for fever and"
Disease,synns and symptoms,Incubation,Communicability,,Prevention
Influenza,adults. É??Stomach fluÉ?ù with GI symptoms is caused by other viruses.,,"common. Contagious 1 day prior to being sick up to 3-7 days after 1st
symptom.",,aches).
"Measles (rubeola, hard measles)","Initially symptoms of severe cold with fever, conjunctivitis, swollen eyelids, photophobia, malaise, cough, nasopharyngeal congestion, red bumpy rash lasting about 6 days","7-14 days;
average 10 days","Inhalation of infective droplets
and direct contact. Highly communicable virus mostly before prodrome starts (early or impending disease time), to about 4 days after rash appears.",,Handwashing critical. MMR vaccination part of childhood program.
Meningitis É?? inflammation of meninges caused by bacteria and viruses,"Viral meningitis É?? most common type of meningitis; self-limited disease lasting 7-10 days.
Bacterial É?? very serious infection; fever, chills, headache, nuchal rigidity (stiff neck) with flexion, arthralgia (achy joints), lethargy, malaise (ill feeling), altered mental status, vomiting, seizures.",2-4 days up to 10 days,"Resp droplets; contact with oral secretions, crowding, close contact, smoking, lower socioeconomic status. Viral meningitis can also be spread via contact with feces of infected person.",,Practice good handwashing.  Mask for pt and self.  Universal precautions. Post exposure antibiotics started within 24 hours. Vaccination now part of childhood series (Haemophilus influenza type B).
Monkeypox,"Rare viral disease. 12 days after exposure get fever, headache, muscle aches, backache, swollen lymph nodes, tired.  Rash 1-3 days after",12 days,From an animal with monkeypox if bitten or touch the animalÉ??s,,No specific treatment. Possibly the smallpox vaccine to prevent against getting.
Disease,synns and symptoms,Incubation,Communicability,,Prevention
Monkeypox,fever; often starts on face as fluid filled bumps and the spreads.,,"blood, body fluids, or its rash. Person-to-person from large respiratory droplets during long periods of face-to-face contact or touching body fluids or contaminated objects of infected persons.",,
"MRSA É??
methicillin resistant staphylococcus aureus","Usually found in ill patients who are multidrug resistant. Often in open wounds, post-op wounds, around G- tube sites.",,"Usually spread from infected patients via hands of HCW and inanimate objects (B/P cuff, stethoscope).",,"Handwashing after any patient contact. Wear gloves when doing pt contact. Protective gowns when in contact with infected linens.
Avoid sharing of equipment. HCW can be colonized with MRSA (not common) but often are not ill and are not at risk to other healthy persons (peers, family)."
Mumps (Acute viral disease),"Painful enlargement of salivary glands.  Feverish cold followed by swelling and stiffening of parotid salivary gland in front of ear.  Often bilateral.
Earache, difficulty chewing and swallowing. Glands tender to palpation.",12-25 days,"Resp droplets and direct contact with saliva of infected pt.
Communicable 3 days before to about 4 days after symptoms start. Risk of contracting",,"Standard BSI.
MMR vaccination is standard for childhood immunizations. Adults born after 1956 should get at least 1 dose of MMR."
Disease,synns and symptoms,Incubation,Communicability,,Prevention
mumps,,,disease is minimal.,,
